Dmel_CR45483 lncRNA:CR45483 Gene Expression
Dmel_CG15577 CG15577 Gene Expression
Dmel_CG15578 CG15578 Gene Expression
Dmel_CG12692 CG12692 Gene Expression
Dmel_CG15579 CG15579 Gene Expression
Dmel_CR44957 lncRNA:CR44957 Gene Expression
Dmel_CR46156 lncRNA:CR46156 Gene Expression
Dmel_CG3697 mei-9 Gene Expression
Dmel_CG2982 NO66 Gene Expression
Dmel_CG3712 mRpL33 Gene Expression
Dmel_CG3620 norpA Gene Expression
Dmel_CG12693 CG12693 Gene Expression
Dmel_CR43046 mir-982 Gene Expression
Dmel_CR42924 mir-303 Gene Expression
Dmel_CG3626 Pdpr Gene Expression
Dmel_CR42942 mir-983-1 Gene Expression
Dmel_CR42986 mir-983-2 Gene Expression
Dmel_CR42989 mir-984 Gene Expression
Dmel_CR43614 asRNA:CR43614 Gene Expression
Dmel_CR45484 Dmel_CR45484 Gene Expression
Dmel_CG12688 Dmel_CG12688 Gene Expression
Dmel_CR32773 lncRNA:CR32773 Gene Expression
Dmel_CG3578 bi Gene Expression
Dmel_CG3556 CG3556 Gene Expression
Dmel_CG11427 rb Gene Expression
Dmel_CG3564 CHOp24 Gene Expression
Dmel_CG3568 CG3568 Gene Expression
Dmel_CG17592 Usf Gene Expression
Dmel_CG15912 CG15912 Gene Expression
Dmel_CG11436 CG11436 Gene Expression
Dmel_CG3527 CG3527 Gene Expression
Dmel_CG11444 CG11444 Gene Expression
Dmel_CG3546 CG3546 Gene Expression
Dmel_CG12684 CG12684 Gene Expression
Dmel_CG12212 peb Gene Expression
Dmel_CG12184 Alms1b Gene Expression
Dmel_CG12179 Alms1a Gene Expression
Dmel_CG3346 pon Gene Expression
Dmel_CG3081 CG3081 Gene Expression
Dmel_CG3062 CG3062 Gene Expression
Dmel_CG3052 HLH4C Gene Expression
Dmel_CG7038 mRpL30 Gene Expression
Dmel_CG3024 Torsin Gene Expression
Dmel_CG7035 Cbp80 Gene Expression
Dmel_CG15473 CG15473 Gene Expression
Dmel_CG3009 CG3009 Gene Expression
Dmel_CG3000 fzr Gene Expression
Dmel_CG2984 Pp2C1 Gene Expression
Dmel_CG6998 ctp Gene Expression
Dmel_CG7010 Pdha1 Gene Expression
Dmel_CG7024 Pdha2 Gene Expression
Dmel_CG6986 Proc-R Gene Expression
Dmel_CG15472 CG15472 Gene Expression
Dmel_CG2932 Klf15 Gene Expression
Dmel_CR45515 lncRNA:CR45515 Gene Expression
Dmel_CG2871 CG2871 Gene Expression
Dmel_CG15471 CG15471 Gene Expression
Dmel_CG6978 CG6978 Gene Expression
Dmel_CG2861 CG2861 Gene Expression
Dmel_CR45516 lncRNA:CR45516 Gene Expression
Dmel_CG12682 CG12682 Gene Expression
Dmel_CG42594 CG42594 Gene Expression
Dmel_CR43495 lncRNA:CR43495 Gene Expression
Dmel_CG12681 boil Gene Expression
Dmel_CG6927 CG6927 Gene Expression
Dmel_CG32772 CG32772 Gene Expression
Dmel_CG4041 CG4041 Gene Expression
Dmel_CG6903 Hgsnat Gene Expression
Dmel_CR46342 hpRNA:CR46342 Gene Expression
Dmel_CG44774 CG44774 Gene Expression
Dmel_CG6899 Ptp4E Gene Expression
Dmel_CR44833 lncRNA:CR44833 Gene Expression
