names,scores,logfoldchanges,pvals,pvals_adj,significant
CG5758,13.704107,0.68767583,9.59403286102848e-43,6.814356313184553e-41,False
RhoGAP71E,13.701474,0.6107333,9.94831107718919e-43,7.02800040614333e-41,False
emb,13.687306,0.7351312,1.2090923161154874e-42,8.495974884362302e-41,False
Toll-6,13.683197,0.6559464,1.2794197595636245e-42,8.942327468439374e-41,False
CG8671,13.635793,0.60825896,2.45310416626945e-42,1.7054914679778082e-40,False
Frq1,13.634653,0.5427011,2.4917366250652602e-42,1.7232325922819749e-40,False
CG31221,13.606162,0.5967105,3.680718969612178e-42,2.5189920448283346e-40,False
CASK,13.456542,0.5101191,2.817967866954856e-41,1.9086648335972582e-39,False
futsch,13.380843,0.4047418,7.825502264043149e-41,5.273184602539846e-39,False
hrm,13.375942,0.7187396,8.358740152905409e-41,5.603767633121279e-39,False
CG6770,13.337695,0.51826125,1.3971193794412351e-40,9.318857180638492e-39,False
Bsg,13.310894,0.50692093,2.000735174406652e-40,1.3277606157425962e-38,False
GluRIB,13.29884,0.610027,2.350895558398404e-40,1.552299881274122e-38,False
CG13739,13.191128,0.6865847,9.869747842620355e-40,6.452163515026441e-38,False
SKIP,13.101065,0.6623126,3.246716224036679e-39,2.1119728308832657e-37,False
Rbfox1,13.094929,0.40230793,3.5200553876636974e-39,2.2784989061034968e-37,False
CG13751,13.055038,1.0947397,5.947999461081262e-39,3.831211417578813e-37,True
Calx,13.036508,0.7335675,7.585313565941595e-39,4.8620009881206124e-37,False
UQCR-11,12.949756,0.53571105,2.357027245158316e-38,1.5034630097757416e-36,False
CG44242,12.941848,0.5665304,2.6126729411045696e-38,1.6584793452229005e-36,False
CG1677,12.825652,0.5756207,1.1779063080344947e-37,7.441196580564067e-36,False
ssp3,12.694393,0.77977633,6.352031532478143e-37,3.9935738917111386e-35,False
Rbp6,12.650495,0.39335278,1.1117265703322376e-36,6.956231968650287e-35,False
Met,12.590151,0.7016393,2.3921469885091104e-36,1.4897067027966688e-34,False
wdb,12.558448,0.47805783,3.572737309784465e-36,2.2144230306871637e-34,False
CG42337,12.531245,0.64103556,5.03654490475119e-36,3.107051645466227e-34,False
da,12.528839,0.6077344,5.19171093570233e-36,3.1878075558471314e-34,False
MtnF,12.482262,0.83729005,9.329816429600466e-36,5.702036645811634e-34,False
CG14478,12.463859,0.5770127,1.1754226577490587e-35,7.150487834640108e-34,False
mtgo,12.374525,0.5426047,3.590132081055414e-35,2.163960346104043e-33,False
wry,12.26514,0.5372892,1.3937227246329997e-34,8.324325728035281e-33,False
apolpp,12.248811,1.1365191,1.7047713984289542e-34,1.0136061617808354e-32,True
dpr9,12.206785,0.5306614,2.8596818919421867e-34,1.6926225252306455e-32,False
ND-MLRQ,12.14665,0.50927955,5.976450764839458e-34,3.5215499125556267e-32,False
mahe,12.112196,0.5364381,9.102402155333432e-34,5.339534121476843e-32,False
lbk,12.018532,0.8743376,2.8397306484740005e-33,1.6510646336702818e-31,False
Yp1,11.953584,8.944039,6.218448980355482e-33,3.5837903334153957e-31,True
RpL38,11.84641,0.43317583,2.246085084925233e-32,1.2776432041522754e-30,False
Rok,11.790161,1.1442462,4.387033621658748e-32,2.4847250770946528e-30,True
betaTub56D,11.779742,0.5209652,4.96446326303159e-32,2.7997015998384158e-30,False
alpha-Cat,11.741329,0.55028343,7.824681670598606e-32,4.393859707336141e-30,False
CG42238,11.723979,0.60204375,9.605212932034349e-32,5.370744592635377e-30,False
CG4080,11.686401,0.70941514,1.4959185538613197e-31,8.328970253278705e-30,False
CG3744,11.652786,0.7647651,2.2207800579711107e-31,1.231267930875122e-29,False
CG43737,11.650943,0.5060609,2.2693493864793173e-31,1.2529097032915222e-29,False
pros,11.634297,0.5960865,2.7585224413766214e-31,1.5166102460120838e-29,False
Mnt,11.619952,0.5199498,3.2631712072835963e-31,1.786586235987769e-29,False
CtBP,11.618227,0.47634146,3.329732403200253e-31,1.815464057180553e-29,False
CG13954,11.583505,0.57853276,4.996096247645074e-31,2.712756392316375e-29,False
Lar,11.539173,0.46311772,8.372636910643289e-31,4.527425885014519e-29,False
AP-1gamma,11.53447,0.58137333,8.843061842908104e-31,4.762206254746414e-29,False
CG6700,11.5201845,0.48310393,1.0438704250120168e-30,5.598554034554246e-29,False
mir-9381,11.505171,0.96174264,1.2424330298958962e-30,6.636410574321983e-29,False
